,angle_x,angle_y,angle_z,target
408,-48.14,7.29,-4.09,0
409,-47.71,7.35,-4.0,0
410,-47.66,7.34,-3.95,0
411,-47.49,7.43,-3.85,0
412,-47.1,7.48,-3.72,0
413,-47.02,7.35,-3.69,0
414,-47.0,7.28,-3.68,0
415,-47.16,7.31,-3.7,0
416,-47.17,7.36,-3.73,0
417,-47.16,7.37,-3.79,0
418,-47.15,7.34,-3.87,0
419,-47.08,7.3,-3.94,0
420,-47.05,7.18,-4.01,0
421,-46.91,7.01,-4.08,0
422,-46.76,6.88,-4.13,0
423,-46.61,6.84,-4.17,0
424,-46.44,6.76,-4.22,0
425,-46.19,6.69,-4.25,0
426,-46.02,6.54,-4.3,0
427,-45.97,6.32,-4.33,0
428,-45.96,6.14,-4.39,0
429,-45.82,6.13,-4.41,0
430,-45.42,6.18,-4.39,0
431,-45.09,6.16,-4.34,0
432,-44.83,6.13,-4.29,0
433,-44.71,6.08,-4.25,0
434,-44.41,6.09,-4.16,0
435,-44.07,6.11,-4.08,0
436,-43.88,6.11,-4.04,0
437,-43.74,6.05,-4.01,0
438,-43.3,6.48,-3.85,0
439,-42.91,6.4,-3.8,0
440,-41.64,6.99,-3.86,0
441,-41.19,6.97,-3.83,0
442,-41.01,6.63,-3.82,0
443,-40.94,6.58,-3.81,0
444,-40.89,6.69,-3.8,0
445,-40.01,7.08,-3.74,0
446,-39.5,7.04,-3.72,0
447,-39.09,7.06,-3.7,0
448,-38.66,7.33,-3.66,0
449,-37.96,7.47,-3.6,0
450,-37.08,7.56,-3.49,0
451,-36.04,7.53,-3.39,0
452,-35.51,7.38,-3.32,0
453,-34.97,7.36,-3.09,0
454,-34.43,7.23,-3.0,0
455,-33.63,7.43,-2.9,0
456,-33.05,7.33,-2.86,0
457,-32.85,7.26,-2.86,0
458,-32.39,7.28,-2.84,0
459,-31.89,6.99,-2.84,0
460,-31.15,7.09,-2.79,0
461,-30.55,7.32,-2.7,0
462,-30.09,7.48,-2.68,0
463,-29.8,7.35,-2.67,0
464,-29.11,7.29,-2.61,0
465,-28.33,7.32,-2.55,0
466,-27.66,7.38,-2.48,0
467,-27.17,7.46,-2.45,0
468,-26.83,7.37,-2.48,0
469,-26.39,7.41,-2.46,0
470,-26.02,7.26,-2.48,0
471,-25.8,6.91,-2.55,0
472,-25.35,6.85,-2.48,0
473,-24.75,6.92,-2.44,0
474,-24.15,6.9,-2.46,0
475,-23.47,6.91,-2.4,0
476,-22.68,7.0,-2.34,0
477,-22.43,6.83,-2.37,0
478,-21.93,6.94,-2.32,0
479,-21.55,6.95,-2.29,0
480,-21.21,7.11,-2.28,0
481,-20.91,7.25,-2.25,0
482,-20.68,7.31,-2.24,0
483,-20.34,7.38,-2.22,0
484,-20.0,7.34,-2.21,0
485,-19.58,7.16,-2.2,0
486,-19.51,7.07,-2.21,0
487,-19.44,7.11,-2.22,0
488,-19.3,7.06,-2.22,0
489,-18.8,6.96,-2.19,0
490,-18.0,7.06,-2.13,0
491,-17.82,6.77,-2.12,0
492,-17.07,6.83,-2.01,0
493,-16.63,6.85,-1.94,0
